pathogen_cat,metric_cat,state,vaccine_coverage_cat,time,winsorized_mean,mean,p025,p975
Measles,Cumulative new infections,US,Current levels,416,173.46929999999998,175.02049999999997,67,378.02499999999986
Measles,Cumulative new infections,US,Current levels,418,174.4754,176.02200000000002,67,382.02499999999986
Measles,Cumulative new infections,US,Current levels,420,175.49780000000004,177.08049999999997,68,384.0749999999996
Measles,Cumulative new infections,US,Current levels,422,176.58249999999998,178.17450000000002,68,387.02499999999986
Measles,Cumulative new infections,US,Current levels,424,177.62239999999994,179.23,68.975,391
Measles,Cumulative new infections,US,Current levels,426,178.67940000000004,180.29850000000005,69,393.02499999999986
Measles,Cumulative new infections,US,Current levels,428,179.6809,181.34550000000002,69.975,393.0749999999996
Measles,Cumulative new infections,US,Current levels,430,180.73379999999995,182.4,69.975,395.0749999999996
Measles,Cumulative new infections,US,Current levels,432,181.74679999999998,183.456,70,399.02499999999986
Measles,Cumulative new infections,US,Current levels,434,182.8409,184.51100000000002,71,400.02499999999986
Measles,Cumulative new infections,US,Current levels,436,183.925,185.5565,72.94999999999999,401.0499999999997
Measles,Cumulative new infections,US,Current levels,438,185.0063,186.62250000000003,73,405.0499999999997
Measles,Cumulative new infections,US,Current levels,440,186.13550000000004,187.70900000000003,73,407
Measles,Cumulative new infections,US,Current levels,442,187.1699,188.74149999999997,73.975,407.0749999999996
Measles,Cumulative new infections,US,Current levels,444,188.21389999999997,189.80100000000004,74,409.0499999999997
Measles,Cumulative new infections,US,Current levels,446,189.24329999999998,190.87900000000005,74.97500000000001,412
Measles,Cumulative new infections,US,Current levels,448,190.28660000000002,191.94549999999998,75,415
Measles,Cumulative new infections,US,Current levels,450,191.39489999999998,193.057,76,419
Measles,Cumulative new infections,US,Current levels,452,192.4509,194.1105,77,421.02499999999986
Measles,Cumulative new infections,US,Current levels,454,193.4343,195.13350000000003,77,425.02499999999986
Measles,Cumulative new infections,US,Current levels,456,194.521,196.20950000000005,77,427.09999999999945
Measles,Cumulative new infections,US,Current levels,458,195.5865,197.29699999999997,78,431.0749999999996
Measles,Cumulative new infections,US,Current levels,460,196.59440000000006,198.372,78,433.0749999999996
Measles,Cumulative new infections,US,Current levels,462,197.59570000000002,199.41549999999998,78,437.02499999999986
Measles,Cumulative new infections,US,Current levels,464,198.6201,200.47900000000004,79,439.0499999999997
Measles,Cumulative new infections,US,Current levels,466,199.66550000000004,201.52650000000003,79,442.02499999999986
Measles,Cumulative new infections,US,Current levels,468,200.70530000000005,202.57199999999992,79,444.02499999999986
Measles,Cumulative new infections,US,Current levels,470,201.74750000000003,203.6009999999999,80,445.02499999999986
Measles,Cumulative new infections,US,Current levels,472,202.78829999999996,204.66700000000003,80,446
Measles,Cumulative new infections,US,Current levels,474,203.918,205.778,82,446
Measles,Cumulative new infections,US,Current levels,476,204.93689999999998,206.82450000000003,82,448.02499999999986
Measles,Cumulative new infections,US,Current levels,478,205.9954,207.89199999999997,82.97500000000001,449.0499999999997
Measles,Cumulative new infections,US,Current levels,480,207.07649999999995,208.96600000000004,83.975,451
Measles,Cumulative new infections,US,Current levels,482,208.10099999999997,210.01,84,452.02499999999986
Measles,Cumulative new infections,US,Current levels,484,209.1585,211.12700000000004,85,454
Measles,Cumulative new infections,US,Current levels,486,210.2255,212.20250000000001,86,455.0499999999997
Measles,Cumulative new infections,US,Current levels,488,211.2064000000001,213.262,86.97500000000001,458.02499999999986
Measles,Cumulative new infections,US,Current levels,490,212.28209999999999,214.3155,87,460.0499999999997
Measles,Cumulative new infections,US,Current levels,492,213.29510000000002,215.3815,87.975,461.1249999999993
Measles,Cumulative new infections,US,Current levels,494,214.30549999999997,216.4465,87.975,465.02499999999986
Measles,Cumulative new infections,US,Current levels,496,215.34949999999998,217.50049999999996,88.975,468.0499999999997
Measles,Cumulative new infections,US,Current levels,498,216.40359999999998,218.58499999999998,89,472
Measles,Cumulative new infections,US,Current levels,500,217.44940000000005,219.64549999999997,90,472.0499999999997
Measles,Cumulative new infections,US,Current levels,502,218.51149999999996,220.73400000000004,90,474
Measles,Cumulative new infections,US,Current levels,504,219.56140000000002,221.80849999999992,91,475.0499999999997
Measles,Cumulative new infections,US,Current levels,506,220.61969999999997,222.89599999999996,92,478
Measles,Cumulative new infections,US,Current levels,508,221.80040000000002,224.01049999999998,92,479.0499999999997
Measles,Cumulative new infections,US,Current levels,510,222.8813,225.10900000000004,93,482
Measles,Cumulative new infections,US,Current levels,512,223.90960000000004,226.18250000000006,93,484
Measles,Cumulative new infections,US,Current levels,514,224.96910000000003,227.23100000000002,94,486.0499999999997
Measles,Cumulative new infections,US,Current levels,516,226.0822,228.3455,94,488
Measles,Cumulative new infections,US,Current levels,518,227.19449999999998,229.44500000000002,95,490.02499999999986
Measles,Cumulative new infections,US,Current levels,520,228.2549,230.54350000000002,96,493.02499999999986
Measles,Cumulative new infections,US,Current levels,522,229.2632,231.616,97,495
Measles,Cumulative new infections,US,Current levels,524,230.33759999999998,232.68050000000005,98,496.02499999999986
Measles,Cumulative new infections,US,Current levels,526,231.36479999999997,233.76100000000002,99,498
Measles,Cumulative new infections,US,Current levels,528,232.4348,234.85749999999996,99,499.02499999999986
Measles,Cumulative new infections,US,Current levels,530,233.46270000000004,235.91700000000003,99.975,501.02499999999986
Measles,Cumulative new infections,US,Current levels,532,234.589,237,101,502
Measles,Cumulative new infections,US,Current levels,534,235.7012,238.10549999999995,101,502.02499999999986
Measles,Cumulative new infections,US,Current levels,536,236.83310000000003,239.16700000000006,101,503.02499999999986
Measles,Cumulative new infections,US,Current levels,538,237.88150000000002,240.2455,102,505.02499999999986
Measles,Cumulative new infections,US,Current levels,540,238.95550000000003,241.34550000000002,102.97500000000001,507.02499999999986
Measles,Cumulative new infections,US,Current levels,542,240.0293,242.44850000000002,103,509.0749999999996
Measles,Cumulative new infections,US,Current levels,544,241.1315,243.55550000000002,103.975,511.02499999999986
Measles,Cumulative new infections,US,Current levels,546,242.15929999999997,244.63499999999993,104,513
Measles,Cumulative new infections,US,Current levels,548,243.2277,245.73200000000003,104,513
Measles,Cumulative new infections,US,Current levels,550,244.2486,246.80450000000002,105.975,514
Measles,Cumulative new infections,US,Current levels,552,245.3122,247.88949999999983,106,515.0499999999997
Measles,Cumulative new infections,US,Current levels,554,246.49999999999997,249.017,106.97500000000001,520.0249999999999
Measles,Cumulative new infections,US,Current levels,556,247.60479999999998,250.134,107.975,523.0499999999997
Measles,Cumulative new infections,US,Current levels,558,248.71779999999998,251.22949999999997,108,526
Measles,Cumulative new infections,US,Current levels,560,249.86649999999995,252.35749999999996,108.975,526.0249999999999
Measles,Cumulative new infections,US,Current levels,562,250.97979999999998,253.47750000000002,109,529.0249999999999
Measles,Cumulative new infections,US,Current levels,564,252.06519999999998,254.59199999999998,109,531.0249999999999
Measles,Cumulative new infections,US,Current levels,566,253.25269999999998,255.70250000000004,110,535.0499999999997
Measles,Cumulative new infections,US,Current levels,568,254.3808,256.77549999999997,110.97500000000001,536.1249999999993
Measles,Cumulative new infections,US,Current levels,570,255.50300000000004,257.88449999999995,111,539.1249999999993
Measles,Cumulative new infections,US,Current levels,572,256.5979,258.9955,112,541.1499999999992
Measles,Cumulative new infections,US,Current levels,574,257.6579,260.09649999999993,112.975,547.0749999999996
Measles,Cumulative new infections,US,Current levels,576,258.78240000000005,261.23,114,552
Measles,Cumulative new infections,US,Current levels,578,259.87620000000004,262.34,114,552.0499999999997
Measles,Cumulative new infections,US,Current levels,580,261.01789999999994,263.47349999999994,114,554.0999999999995
Measles,Cumulative new infections,US,Current levels,582,262.0539,264.532,114,554.1249999999993
Measles,Cumulative new infections,US,Current levels,584,263.13120000000004,265.65150000000006,115,554.2249999999988
Measles,Cumulative new infections,US,Current levels,586,264.3322999999999,266.79999999999995,116,556.174999999999
Measles,Cumulative new infections,US,Current levels,588,265.40440000000007,267.8979999999999,116,557.174999999999
Measles,Cumulative new infections,US,Current levels,590,266.47579999999994,269.0165,117,557.2499999999986
Measles,Cumulative new infections,US,Current levels,592,267.57609999999994,270.10400000000004,117,560.174999999999
Measles,Cumulative new infections,US,Current levels,594,268.7039,271.21400000000006,118,562.174999999999
Measles,Cumulative new infections,US,Current levels,596,269.77900000000005,272.337,118,567.0499999999997
Measles,Cumulative new infections,US,Current levels,598,271.0403,273.5135,119,571.0249999999999
Measles,Cumulative new infections,US,Current levels,600,272.21790000000004,274.654,119.975,574.0249999999999
Measles,Cumulative new infections,US,Current levels,602,273.33879999999994,275.8035,120,578.0249999999999
Measles,Cumulative new infections,US,Current levels,604,274.3827,276.91,120,582.0249999999999
Measles,Cumulative new infections,US,Current levels,606,275.48529999999994,278.0255000000001,121.975,587.0749999999996
Measles,Cumulative new infections,US,Current levels,608,276.59909999999996,279.10749999999996,122,590.0249999999999
Measles,Cumulative new infections,US,Current levels,610,277.7145,280.22599999999994,122,592.0249999999999
Measles,Cumulative new infections,US,Current levels,612,278.80339999999995,281.34399999999994,123,594.0249999999999
Measles,Cumulative new infections,US,Current levels,614,279.96340000000004,282.4465,123,596.0749999999996
Measles,Cumulative new infections,US,Current levels,616,281.1086,283.564,124,600.1499999999992
